title,author,length
UFO of God,Chris Bledsoe, 7 hrs and 52 mins
Survival Theory II,Jonathan Hollerman, 9 hrs and 29 mins
Dirty Thirty,Janet Evanovich, 8 hrs
Powerless,Elsie Silver, 10 hrs and 25 mins
The Freedom Shortcut,Mikkelsen Twins, 4 hrs and 21 mins
Rise of the Coven,E.E. Holmes, 11 hrs and 10 mins
The Girl and the Winter Bones,A.J. Rivers, 10 hrs
The Good and Beautiful You,James Bryan Smith, 8 hrs and 34 mins
One Bossy Date,Nicole Snow, 15 hrs and 14 mins
No Surrender,Morgan Brice, 6 hrs and 15 mins
Legacy of Shadows,Tessa Hale, 7 hrs and 5 mins
Fateless: Book One,Martin McKenzie, 18 hrs and 58 mins
Scaling People,Claire Hughes Johnson, 11 hrs and 32 mins
My What If Year,Alisha Fernandez Miranda, 7 hrs and 22 mins
Ryan Retribution,Sadie Kincaid, 7 hrs and 5 mins
Pathways to Peace of Mind,"Napoleon Hill,Don Green - foreword,Dr. J.B. Hill - introduction", 4 hrs and 23 mins
Battle Miner,Kirk Mason, 9 hrs and 9 mins
A Deadly Match,"Matthew Costello,Neil Richards", 3 hrs and 34 mins
Just Feel Good,Andrew Kap, 1 hr and 57 mins
Cannon,Sawyer Bennett, 7 hrs and 44 mins
Lucky in Lace,Melissa Brayden, 11 hrs and 2 mins
Countdown,"James Patterson,Brendan DuBois", 11 hrs and 25 mins
Why Do I Do What I Don't Want to Do?,"Jonathan ""JP"" Pokluda,Jon Green - contributor", 5 hrs and 5 mins
Storm Watch,C. J. Box, 9 hrs and 4 mins
Extrañas [Strangers],Guillermo Arriaga, 19 hrs and 15 mins
The Temporary Wife: Luca and Valentina's Story,Catharina Maura, 11 hrs and 33 mins
Spare,Prince Harry The Duke of Sussex, 15 hrs and 39 mins
Bloodshed,Molly Doyle, 8 hrs and 32 mins
Midnight in Delta County,J. L. Hyde, 5 hrs and 31 mins
Happy Place,Emily Henry, 11 hrs and 3 mins
The Staff Engineer's Path,Tanya Reilly, 14 hrs and 15 mins
Fool Me Once,Kelly Richmond Pope, 7 hrs and 28 mins
How to Make It in the New Music Business (3rd Edition),Ari Herstand, 19 hrs and 47 mins
Hunted: Magiford Supernatural City,K. M. Shea, 9 hrs and 12 mins
Empath And Narcissist,Lisa Kennedy, 20 hrs and 32 mins
The Solution Focused Brief Therapy Diamond,"Elliott E. Connie,Adam S. Froerer", 9 hrs and 43 mins
